,RA,CODTURMA,DISCIPLINA,CURSO_TURMA,CURSO_ALUNO,STATUSRES,P1/AP1,P2/AP2,TRABALHO/AP3,ESPECIAL (SUBSTITUTIVA)/MP,MF,MEDIA FINAL/AS,TFALTAS,Total Geral,PERÍODO,TIPO,ENTRADA_x,SEM,SEM_R,SEM_D,SEMESTRE,ENTRADA_y
506,1811564267,01 1MICR-MT2,Microeconomia,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,8.75,9.25,9.75,9.2,9.2,0,2,,2018.1,CE,2018.1,0,0,0,1,2018.1
507,1811564869,01 1MICR-MT2,Microeconomia,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,8.95,6.25,9.11,8,8,0,0,,2018.1,CE,2018.1,0,0,0,1,2018.1
508,1811565273,01 1MICR-MT1,Microeconomia,Administração,Administração,REN - Reprovado por Nota,4.9,5.2,4,4.7,4.7,0,4,,2018.1,CE,2018.1,0,0,0,1,2018.1
509,1811565282,01 1MICR-MT1,Microeconomia,Administração,Administração,APM - Aprovado por média,5.5,7.2,6.7,6.5,7,7.1,5,,2018.1,CE,2018.1,0,0,0,1,2018.1
510,1811562586,01 1CALC-MT3,Cálculo,Administração,Administração,APM - Aprovado por média,9.2,10,6,8.9,8.9,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
511,1811562591,01 1CALC-MT3,Cálculo,Administração,Administração,APM - Aprovado por média,7.2,8.5,5.5,7.4,7.4,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
512,1811562595,01 1CALC-MT3,Cálculo,Administração,Administração,APM - Aprovado por média,5.5,10,5,7.2,7.2,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
513,1811562614,01 1CALC-MT3,Cálculo,Administração,Administração,APM - Aprovado por média,5.6,5.4,7,5.8,7,8.3,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
514,1811562619,01 1CALC-MT3,Cálculo,Administração,Administração,APM - Aprovado por média,0.5,7,4,3.8,7,8.5,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
515,1811562624,01 1CALC-MT3,Cálculo,Administração,Administração,APM - Aprovado por média,8.3,10,5.5,8.4,8.4,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
516,1811562643,01 1CALC-MT3,Cálculo,Administração,Administração,REN - Reprovado por Nota,4.1,4.8,0,3.6,3.6,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
517,1811562644,01 1CALC-MT3,Cálculo,Administração,Administração,APM - Aprovado por média,6.9,10,5,7.8,7.8,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
518,1811562648,01 1CALC-MT3,Cálculo,Administração,Ciências Econômicas,REN - Reprovado por Nota,1.3,6.4,5,4.1,6,6.2,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
519,1811562649,01 1CALC-MT3,Cálculo,Administração,Ciências Econômicas,APM - Aprovado por média,5,8.5,5,6.4,7.4,7.4,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
520,1811562656,01 1CALC-MT3,Cálculo,Administração,Ciências Econômicas,REN - Reprovado por Nota,0.5,0,0,0.2,0.2,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
521,1811562666,01 1CALC-MT3,Cálculo,Administração,Ciências Econômicas,APM - Aprovado por média,7.7,10,5.5,8.2,8.2,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
522,1811562673,01 1CALC-MT3,Cálculo,Administração,Ciências Econômicas,APM - Aprovado por média,7.6,10,5.5,8.1,8.1,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
523,1811562688,01 1CALC-MT3,Cálculo,Administração,Ciências Econômicas,APM - Aprovado por média,7.7,10,3,7.7,7.7,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
524,1811562757,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,2.2,1.5,4,2.3,2.3,0,1,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
525,1811562759,01 1CALC-MT3,Cálculo,Administração,Administração,APM - Aprovado por média,7.6,3.9,4,5.4,7.5,9.2,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
526,1811562764,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,7.3,10,5,7.9,7.9,0,2,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
527,1811562775,01 1CALC-MT3,Cálculo,Administração,Ciências Econômicas,APM - Aprovado por média,7.2,8.1,5.5,7.2,7.2,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
528,1811562779,01 1CALC-MT3,Cálculo,Administração,Ciências Econômicas,APM - Aprovado por média,6.8,8.7,6,7.4,7.4,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
529,1811562783,01 1CALC-MT3,Cálculo,Administração,Ciências Econômicas,APM - Aprovado por média,4.7,7.3,3.5,5.5,7,8.4,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
530,1811562784,01 1CALC-MT3,Cálculo,Administração,Ciências Econômicas,APM - Aprovado por média,4,7,6,5.6,7,7.4,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
531,1811562794,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,1,0,2.7,0.9,0.9,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
532,1811562798,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,0,0,0,0,0,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
533,1811562800,01 1CALC-MT3,Cálculo,Administração,Ciências Econômicas,REN - Reprovado por Nota,3.5,1.8,0,2.1,2.1,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
534,1811562854,01 1CALC-MT3,Cálculo,Administração,Administração,APM - Aprovado por média,8,9.6,4,7.8,7.8,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
535,1811562903,01 1CALC-MT3,Cálculo,Administração,Administração,REN - Reprovado por Nota,2.6,0,0,1,1,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
536,1811563625,01 1CALC-MT3,Cálculo,Administração,Ciências Econômicas,REN - Reprovado por Nota,1.1,1.3,0,1,1,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
537,1811563668,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,7.9,10,5.5,8.3,8.3,0,1,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
538,1811563969,01 1CALC-MT3,Cálculo,Administração,Administração,APM - Aprovado por média,5.3,8.4,3,6.1,7,7.5,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
539,1811564021,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,5.8,9.9,3.5,7,7,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
540,1811564023,01 1CALC-MT3,Cálculo,Administração,Administração,REN - Reprovado por Nota,3.7,0.5,0,1.7,1.7,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
541,1811564026,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,1.2,0.5,0,0.7,0.7,0,2,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
542,1811565273,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,0.2,0,0,0.1,0.1,0,6,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
543,1821560004,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,4.2,0,0,1.7,1.7,0,0,,2018.2,MT,2018.2,0,0,0,1,2018.2
544,1821560072,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,4,6,7,5.4,7,8,3,,2018.2,MT,2018.2,0,0,0,1,2018.2
545,1821568463,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,1.5,2.7,5,2.7,2.8,1.9,1,,2018.2,MT,2018.2,0,0,0,1,2018.2
546,1821568468,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,1.4,2.5,1.5,1.9,1.9,0,4,,2018.2,MT,2018.2,0,0,0,1,2018.2
547,1821568474,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,0,0.9,0,0.4,0.4,0,6,,2018.2,MT,2018.2,0,0,0,1,2018.2
548,1821568494,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,0,4.8,4,2.7,4.6,4.7,9,,2018.2,MT,2018.2,0,0,0,1,2018.2
549,1821568499,01 1CALC-MT1,Cálculo,Administração,Administração,REF - Reprovado por Falta,0,0,0,0,0,0,23,,2018.2,MT,2018.2,0,0,0,1,2018.2
550,1821568501,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,5.6,1,4,3.4,3.4,0.3,0,,2018.2,MT,2018.2,0,0,0,1,2018.2
551,1821568508,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,4.1,4.2,5.5,4.4,4.4,2.2,2,,2018.2,MT,2018.2,0,0,0,1,2018.2
552,1821568594,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,0,0,0,0,0,0,0,,2018.2,MT,2018.2,0,0,0,1,2018.2
553,1821568605,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,1.5,3,2,2.2,2.2,1.6,2,,2018.2,MT,2018.2,0,0,0,1,2018.2
554,1821568621,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,0,0.5,3.4,0.9,0.9,0,0,,2018.2,MT,2018.2,0,0,0,1,2018.2
555,1821568628,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,0,0,2,0.4,0.4,0,0,,2018.2,MT,2018.2,0,0,0,1,2018.2
556,1821568638,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,3.8,1.7,6.7,3.5,3.7,2.1,0,,2018.2,MT,2018.2,0,0,0,1,2018.2
557,1821568658,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,3.5,0.7,1.4,2,2,0,0,,2018.2,MT,2018.2,0,0,0,1,2018.2
558,1821568662,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,7.1,1,5.4,4.3,4.9,2.4,0,,2018.2,MT,2018.2,0,0,0,1,2018.2
559,1821568666,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,4.9,0,4,2.8,2.8,0,0,,2018.2,MT,2018.2,0,0,0,1,2018.2
560,1821568669,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,4.8,3.2,4.7,4.1,4.1,1.5,0,,2018.2,MT,2018.2,0,0,0,1,2018.2
561,1821568723,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,3.5,0.6,0,1.6,1.6,0,6,,2018.2,MT,2018.2,0,0,0,1,2018.2
562,1821568724,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,1.5,0.3,0,0.7,0.7,0,9,,2018.2,MT,2018.2,0,0,0,1,2018.2
563,1821568727,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,0,1.8,2,1.1,1.1,0,9,,2018.2,MT,2018.2,0,0,0,1,2018.2
564,1821568730,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,9.4,0.7,7,5.4,8,7.2,5,,2018.2,MT,2018.2,0,0,0,1,2018.2
565,1821568737,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,3.5,4.7,3,3.9,3.9,0,9,,2018.2,MT,2018.2,0,0,0,1,2018.2
566,1821568742,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,2.7,0.9,0,1.4,1.4,0,5,,2018.2,MT,2018.2,0,0,0,1,2018.2
567,1821568749,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,1.3,0,4,1.3,1.3,0,4,,2018.2,MT,2018.2,0,0,0,1,2018.2
568,1821568750,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,0.2,0.9,0,0.4,0.4,0,1,,2018.2,MT,2018.2,0,0,0,1,2018.2
569,1821568766,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,3.6,5.6,5,4.7,5,4.5,6,,2018.2,MT,2018.2,0,0,0,1,2018.2
570,1821568774,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,0,0.7,0,0.3,0.3,0,12,,2018.2,MT,2018.2,0,0,0,1,2018.2
571,1821568786,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,2.7,0,0,1.1,1.1,0,0,,2018.2,MT,2018.2,0,0,0,1,2018.2
572,1821568801,01 1CALC-MT3,Cálculo,Administração,Administração,REN - Reprovado por Nota,5.3,3.2,3.5,4.1,4.1,0,0,,2018.2,MT,2018.2,0,0,0,1,2018.2
573,1821568802,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,1.1,0.9,0,0.8,0.8,0,10,,2018.2,MT,2018.2,0,0,0,1,2018.2
574,1821568807,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,2.3,1.2,0,1.4,1.4,0,5,,2018.2,MT,2018.2,0,0,0,1,2018.2
575,1821568809,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,7,7,7,7,7,0,0,,2018.2,MT,2018.2,0,0,0,1,2018.2
576,1821568832,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,3.1,0.8,2,2,2.2,1.3,1,,2018.2,MT,2018.2,0,0,0,1,2018.2
577,1821568840,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,5.9,2.2,2,3.6,3.6,0,6,,2018.2,MT,2018.2,0,0,0,1,2018.2
578,1821568842,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,4.7,2.2,0,2.8,2.8,0,1,,2018.2,MT,2018.2,0,0,0,1,2018.2
579,1821568845,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,2.2,0,2.7,1.4,1.4,0,0,,2018.2,MT,2018.2,0,0,0,1,2018.2
580,1821568849,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,0,2.6,3,1.6,1.6,0,4,,2018.2,MT,2018.2,0,0,0,1,2018.2
581,1821568857,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,5.9,8.7,9,7.6,7.6,0,0,,2018.2,MT,2018.2,0,0,0,1,2018.2
582,1821568858,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,1.7,1.4,1.5,1.5,1.5,0.2,3,,2018.2,MT,2018.2,0,0,0,1,2018.2
583,1821569014,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,3.6,2.2,4.7,3.3,3.3,0,0,,2018.2,MT,2018.2,0,0,0,1,2018.2
584,1821569016,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,6.8,9,6.7,7.7,7.7,0,0,,2018.2,MT,2018.2,0,0,0,1,2018.2
585,1821569023,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,2.8,5.4,3,3.9,3.9,0,4,,2018.2,MT,2018.2,0,0,0,1,2018.2
586,1821569238,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,0,0,0,0,0,0,0,,2018.2,MT,2018.2,0,0,0,1,2018.2
587,1821569939,01 1CALC-MT2,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,5.3,3.2,2,3.8,3.8,0,0,,2018.2,MT,2018.2,0,0,0,1,2018.2
588,1821569978,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,1.9,2.3,3,2.3,2.3,0,3,,2018.2,MT,2018.2,0,0,0,1,2018.2
589,1811562586,02 1CDVV-MT1,Cálculo de várias variáveis,Administração,Administração,APM - Aprovado por média,7.1,7.5,9,7.6,7.6,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
590,1811562591,02 1CDVV-MT1,Cálculo de várias variáveis,Administração,Administração,REN - Reprovado por Nota,6.2,3.9,5,5,5,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
591,1811562595,02 1CDVV-MT1,Cálculo de várias variáveis,Administração,Administração,APM - Aprovado por média,6.6,5.3,6,6,7,7.8,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
592,1811562596,02 1CDVV-MT1,Cálculo de várias variáveis,Administração,Administração,APM - Aprovado por média,9.7,10,9,9.7,9.7,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
593,1811562609,02 1CDVV-MT1,Cálculo de várias variáveis,Administração,Administração,APM - Aprovado por média,8.6,10,8,9,9,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
594,1811562610,02 1CDVV-MT1,Cálculo de várias variáveis,Administração,Administração,REN - Reprovado por Nota,1.3,1.1,0,1,1,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
595,1811562612,02 1CDVV-MT1,Cálculo de várias variáveis,Administração,Administração,APM - Aprovado por média,6.5,9.4,6,7.6,7.6,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
596,1811562614,02 1CDVV-MT1,Cálculo de várias variáveis,Administração,Administração,REN - Reprovado por Nota,3.4,3.2,6,3.8,3.8,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
597,1811562615,02 1CDVV-MT1,Cálculo de várias variáveis,Administração,Administração,REN - Reprovado por Nota,4.9,6.8,6,5.9,6.4,6.1,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
598,1811562617,02 1CDVV-MT1,Cálculo de várias variáveis,Administração,Administração,REN - Reprovado por Nota,1.6,1.6,6,2.5,2.5,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
599,1811562619,02 1CDVV-MT1,Cálculo de várias variáveis,Administração,Administração,REN - Reprovado por Nota,2.5,2.9,5.5,3.3,3.3,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
600,1811562620,02 1CDVV-MT1,Cálculo de várias variáveis,Administração,Administração,REN - Reprovado por Nota,3.5,1.1,4,2.6,2.6,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
601,1811562621,02 1CDVV-MT1,Cálculo de várias variáveis,Administração,Administração,REN - Reprovado por Nota,3.2,4.4,8,4.6,4.9,3.8,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
602,1811562624,02 1CDVV-MT1,Cálculo de várias variáveis,Administração,Administração,APM - Aprovado por média,5.4,9.9,6,7.3,7.3,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
603,1811562630,02 1CDVV-MT1,Cálculo de várias variáveis,Administração,Administração,APM - Aprovado por média,6.9,4.5,7.5,6.1,7.7,8.6,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
604,1811562631,02 1CDVV-MT1,Cálculo de várias variáveis,Administração,Administração,APM - Aprovado por média,9.8,10,6,9.1,9.1,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
605,1811562633,02 1CDVV-MT1,Cálculo de várias variáveis,Administração,Administração,APM - Aprovado por média,8.4,6.5,7,7.4,7.4,4.9,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
606,1811562634,02 1CDVV-MT1,Cálculo de várias variáveis,Administração,Administração,REN - Reprovado por Nota,2.5,1.3,4,2.3,2.3,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
607,1811562639,02 1CDVV-MT1,Cálculo de várias variáveis,Administração,Administração,APM - Aprovado por média,9.4,7.6,5,7.8,7.8,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
608,1811562642,02 1CDVV-MT1,Cálculo de várias variáveis,Administração,Administração,REN - Reprovado por Nota,0.5,0,0,0.2,0.2,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
609,1811562643,02 1CDVV-MT1,Cálculo de várias variáveis,Administração,Administração,REN - Reprovado por Nota,3.5,0,0,1.4,1.4,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
610,1811562644,02 1CDVV-MT1,Cálculo de várias variáveis,Administração,Administração,APM - Aprovado por média,8.1,8.2,5.5,7.6,7.6,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
611,1811562649,02 1CDVV-MT2,Cálculo de várias variáveis,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,6.3,6.2,4,5.8,5.8,4.8,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
612,1811562650,02 1CDVV-MT2,Cálculo de várias variáveis,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,10,9.8,7.5,9.4,9.4,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
613,1811562654,02 1CDVV-MT2,Cálculo de várias variáveis,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,4.1,5.5,7,5.2,5.2,0.9,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
614,1811562656,02 1CDVV-MT2,Cálculo de várias variáveis,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,0.5,0,0,0.2,0.2,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
615,1811562658,02 1CDVV-MT2,Cálculo de várias variáveis,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,9.1,9.6,5.5,8.6,8.6,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
616,1811562659,02 1CDVV-MT2,Cálculo de várias variáveis,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,3.9,0.5,7,3.2,3.2,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
617,1811562660,02 1CDVV-MT2,Cálculo de várias variáveis,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,8.1,6.3,5,6.8,7.5,8.2,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
618,1811562662,02 1CDVV-MT2,Cálculo de várias variáveis,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,1.3,2.2,0,1.4,1.4,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
619,1811562665,02 1CDVV-MT2,Cálculo de várias variáveis,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,9,9.5,7.5,8.9,8.9,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
620,1811562666,02 1CDVV-MT2,Cálculo de várias variáveis,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,7.3,6.6,5.5,6.7,7.7,9.2,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
621,1811562667,02 1CDVV-MT2,Cálculo de várias variáveis,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,0,0,5.5,1.1,1.1,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
622,1811562669,02 1CDVV-MT2,Cálculo de várias variáveis,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,3.9,0.4,0,1.7,1.7,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
623,1811562673,02 1CDVV-MT2,Cálculo de várias variáveis,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,5.8,8.9,8,7.5,7.5,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
624,1811562674,02 1CDVV-MT2,Cálculo de várias variáveis,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,0.4,0.1,0,0.2,0.2,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
625,1811562676,02 1CDVV-MT2,Cálculo de várias variáveis,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,1.9,1.5,0,1.4,1.4,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
626,1811562686,02 1CDVV-MT2,Cálculo de várias variáveis,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,6.3,9.3,9.5,8.1,8.1,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
627,1811562688,02 1CDVV-MT2,Cálculo de várias variáveis,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,2.2,1,0,1.3,1.3,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
628,1811562689,02 1CDVV-MT2,Cálculo de várias variáveis,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,7.7,5.4,7.5,6.7,7.9,8.4,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
629,1811562758,02 1CDVV-MT1,Cálculo de várias variáveis,Administração,Administração,REN - Reprovado por Nota,4.9,4.5,7,5.2,5.2,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
630,1811562759,02 1CDVV-MT1,Cálculo de várias variáveis,Administração,Administração,REN - Reprovado por Nota,4.1,4.8,7,5,5.4,5.2,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
631,1811562761,02 1CDVV-MT1,Cálculo de várias variáveis,Administração,Administração,APM - Aprovado por média,6.5,3.2,5,4.9,7,8.6,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
632,1811562762,02 1CDVV-MT1,Cálculo de várias variáveis,Administração,Administração,APM - Aprovado por média,8.3,8.7,6,8,8,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
633,1811562763,02 1CDVV-MT1,Cálculo de várias variáveis,Administração,Administração,APM - Aprovado por média,6.3,7.3,6,6.6,7.6,8.6,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
634,1811562764,02 1CDVV-MT1,Cálculo de várias variáveis,Administração,Administração,APM - Aprovado por média,8.2,8.3,7,8,8,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
635,1811562768,02 1CDVV-MT1,Cálculo de várias variáveis,Administração,Administração,APM - Aprovado por média,10,10,8.3,9.7,9.7,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
636,1811562775,02 1CDVV-MT2,Cálculo de várias variáveis,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,5,5.1,4,4.8,4.8,1.2,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
637,1811562776,02 1CDVV-MT2,Cálculo de várias variáveis,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,0.4,0,0,0.2,0.2,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
638,1811562778,02 1CDVV-MT2,Cálculo de várias variáveis,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,4.6,6.4,7.5,5.9,7.7,9.1,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
639,1811562779,02 1CDVV-MT2,Cálculo de várias variáveis,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,0,0,0,0,0,0,0,,2018.2,MT,2018.1,0.1,0,0.1,2,2018.1
