RA,CODTURMA,DISCIPLINA,CURSO_TURMA,CURSO_ALUNO,STATUSRES,P1/AP1,P2/AP2,TRABALHO/AP3,ESPECIAL (SUBSTITUTIVA)/MP,MF,MEDIA FINAL/AS,TFALTAS,Total Geral,PERÍODO
1811564026,01 1MICR-MT1,Microeconomia,Administração,Administração,REN - Reprovado por Nota,4.7,6.2,2,4.8,4.8,0,1,,2018.2
1811565273,01 1MICR-MT1,Microeconomia,Administração,Administração,REN - Reprovado por Nota,0,0,3.4,0.7,0.7,0,8,,2018.2
1821560004,01 1MICR-MT2,Microeconomia,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,0,0,3.4,0.7,0.7,0,12,,2018.2
1821560072,01 1MICR-MT1,Microeconomia,Administração,Administração,APM - Aprovado por média,6.6,8.3,6,7.2,7.2,0,6,,2018.2
1821568463,01 1MICR-MT1,Microeconomia,Administração,Administração,APM - Aprovado por média,5.6,7,5.4,6.1,7,7.8,0,,2018.2
1821568468,01 1MICR-MT1,Microeconomia,Administração,Administração,APM - Aprovado por média,7.7,7.5,8,7.7,7.7,0,3,,2018.2
1821568494,01 1MICR-MT1,Microeconomia,Administração,Administração,APM - Aprovado por média,9.2,9,5.4,8.4,8.4,0,7,,2018.2
1821568499,01 1MICR-MT1,Microeconomia,Administração,Administração,REF - Reprovado por Falta,3,0,0,1.2,1.2,0,33,,2018.2
1821568501,01 1MICR-MT2,Microeconomia,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,8,5.2,4.7,6.2,7,7.1,1,,2018.2
1821568508,01 1MICR-MT1,Microeconomia,Administração,Administração,REN - Reprovado por Nota,5.1,6.1,2.7,5,5.5,6.2,1,,2018.2
1821568594,01 1MICR-MT2,Microeconomia,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,5.5,8.5,4.7,6.5,7.9,8.8,2,,2018.2
1821568605,01 1MICR-MT1,Microeconomia,Administração,Administração,REN - Reprovado por Nota,6,5.9,2.7,5.3,6.1,7.8,1,,2018.2
1821568621,01 1MICR-MT2,Microeconomia,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,6.7,4.5,6.7,5.8,7,7.4,4,,2018.2
1821568628,01 1MICR-MT2,Microeconomia,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,6.5,5.7,6,6.1,7,7.9,2,,2018.2
1821568638,01 1MICR-MT2,Microeconomia,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,9.7,9,6.7,8.8,8.8,0,0,,2018.2
1821568658,01 1MICR-MT2,Microeconomia,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,8.4,7.3,5.4,7.4,7.4,0,1,,2018.2
1821568662,01 1MICR-MT2,Microeconomia,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,5.3,6.3,4.7,5.6,5.6,2.5,0,,2018.2
1821568666,01 1MICR-MT2,Microeconomia,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,6.8,7.8,6.7,7.2,7.2,0,3,,2018.2
1821568669,01 1MICR-MT2,Microeconomia,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,5.4,5.8,6,5.7,7,8.6,3,,2018.2
1821568723,01 1MICR-MT1,Microeconomia,Administração,Administração,APM - Aprovado por média,8.6,7.7,7.4,8,8,0,7,,2018.2
1821568727,01 1MICR-MT1,Microeconomia,Administração,Administração,APM - Aprovado por média,7.1,7.2,3.4,6.4,7,8.7,4,,2018.2
1821568730,01 1MICR-MT1,Microeconomia,Administração,Administração,APM - Aprovado por média,10,9,8,9.2,9.2,0,0,,2018.2
1821568737,01 1MICR-MT1,Microeconomia,Administração,Administração,APM - Aprovado por média,8.9,8.7,6,8.2,8.2,0,4,,2018.2
1821568742,01 1MICR-MT1,Microeconomia,Administração,Administração,APM - Aprovado por média,9,6,7.4,7.5,7.5,0,9,,2018.2
1821568749,01 1MICR-MT1,Microeconomia,Administração,Administração,REN - Reprovado por Nota,5.4,3.7,5.4,4.7,6.4,8,7,,2018.2
1821568750,01 1MICR-MT1,Microeconomia,Administração,Administração,APM - Aprovado por média,7,5.9,6,6.4,7,7.4,8,,2018.2
1821568754,01 1MICR-MT1,Microeconomia,Administração,Administração,APM - Aprovado por média,9,8.8,8,8.7,8.7,0,1,,2018.2
1821568766,01 1MICR-MT1,Microeconomia,Administração,Administração,APM - Aprovado por média,6,6.6,6,6.2,7.4,9,6,,2018.2
1821568774,01 1MICR-MT1,Microeconomia,Administração,Administração,APM - Aprovado por média,4.6,6.6,6.7,5.8,7,7.5,8,,2018.2
1821568786,01 1MICR-MT2,Microeconomia,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,5.4,6.3,6,5.9,6.2,6.3,3,,2018.2
1821568801,01 1MICR-MT1,Microeconomia,Administração,Administração,APM - Aprovado por média,8.7,8.2,5.4,7.8,7.8,0,2,,2018.2
1821568802,01 1MICR-MT1,Microeconomia,Administração,Administração,REN - Reprovado por Nota,5.3,5.9,4.7,5.4,6.3,7.4,10,,2018.2
1821568807,01 1MICR-MT1,Microeconomia,Administração,Administração,APM - Aprovado por média,9.1,7.7,6.7,8.1,8.1,0,7,,2018.2
1821568832,01 1MICR-MT1,Microeconomia,Administração,Administração,APM - Aprovado por média,7.6,7.6,8,7.7,8,8.5,2,,2018.2
1821568840,01 1MICR-MT1,Microeconomia,Administração,Administração,APM - Aprovado por média,6.5,6.5,6,6.4,7,7.9,9,,2018.2
1821568842,01 1MICR-MT1,Microeconomia,Administração,Administração,APM - Aprovado por média,6.5,4.5,7.4,5.9,7.8,9.2,0,,2018.2
1821568845,01 1MICR-MT2,Microeconomia,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,7,7.6,3.4,6.5,7,8.1,1,,2018.2
1821568849,01 1MICR-MT1,Microeconomia,Administração,Administração,APM - Aprovado por média,7,6.3,5.4,6.4,7.7,9.5,7,,2018.2
1821568857,01 1MICR-MT1,Microeconomia,Administração,Administração,APM - Aprovado por média,7.1,9.4,7.4,8.1,8.7,8.7,3,,2018.2
1821568858,01 1MICR-MT1,Microeconomia,Administração,Administração,APM - Aprovado por média,6.6,5.6,4.7,5.8,7,8.5,2,,2018.2
1821569014,01 1MICR-MT2,Microeconomia,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,8,7.3,5.4,7.2,7.2,0,1,,2018.2
1821569016,01 1MICR-MT2,Microeconomia,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,8.7,8.2,6,8,8,0,0,,2018.2
1821569023,01 1MICR-MT1,Microeconomia,Administração,Administração,APM - Aprovado por média,8,6.9,6,7.2,7.2,0,5,,2018.2
1821569238,01 1MICR-MT2,Microeconomia,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,4,0,0,1.6,1.6,0,8,,2018.2
1821569939,01 1MICR-MT2,Microeconomia,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,6.2,7.8,8,7.2,7.2,0,2,,2018.2
1821569978,01 1MICR-MT1,Microeconomia,Administração,Administração,APM - Aprovado por média,4.8,7.7,4,5.8,7,7.8,5,,2018.2
1811562596,03 1ALGL-MT1,Algebra Linear,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,9.3,7,5.5,7.6,7.6,0,0,,2019.1
1811562639,03 1ALGL-MT1,Algebra Linear,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,9.2,7.7,6,8,8,0,0,,2019.1
1811562649,03 1ALGL-MT1,Algebra Linear,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,5.6,3.8,6,5,5.2,4.5,0,,2019.1
1811562650,03 1ALGL-MT1,Algebra Linear,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,8.8,8.8,6.5,8.3,8.3,0,0,,2019.1
1811562654,03 1ALGL-MT1,Algebra Linear,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,5.3,4.7,0,4,4,0,0,,2019.1
1811562658,03 1ALGL-MT1,Algebra Linear,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,7.9,3.8,5.5,5.8,7,6.9,0,,2019.1
1811562660,03 1ALGL-MT1,Algebra Linear,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,7.8,7.5,8.5,7.8,7.8,0,0,,2019.1
1811562662,03 1ALGL-MT1,Algebra Linear,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,8.6,7.2,7.5,7.8,7.8,0,0,,2019.1
1811562665,03 1ALGL-MT1,Algebra Linear,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,9.4,9.4,5,8.5,8.5,0,0,,2019.1
1811562666,03 1ALGL-MT1,Algebra Linear,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,4.7,4,0.5,3.6,3.6,0,0,,2019.1
1811562669,03 1ALGL-MT1,Algebra Linear,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,3,2.5,0,2.2,2.2,0,0,,2019.1
1811562686,03 1ALGL-MT1,Algebra Linear,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,6.9,6.4,5.5,6.4,7,7.9,0,,2019.1
1811562689,03 1ALGL-MT1,Algebra Linear,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,9,7.2,7,7.9,7.9,0,0,,2019.1
1811562775,03 1ALGL-MT1,Algebra Linear,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,6,5.3,5.5,5.6,5.6,4.8,0,,2019.1
1811562778,03 1ALGL-MT1,Algebra Linear,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,7.3,7,6.5,7,7,3.3,0,,2019.1
1811562782,03 1ALGL-MT1,Algebra Linear,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,7,5.1,6,6,6,5,0,,2019.1
1811562783,03 1ALGL-MT1,Algebra Linear,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,5,6,3.5,5.1,5.1,3.7,0,,2019.1
1811562784,03 1ALGL-MT1,Algebra Linear,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,5.6,5.1,3.5,5,5,4.7,0,,2019.1
1811562785,03 1ALGL-MT1,Algebra Linear,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,10,10,8,9.6,9.6,0,0,,2019.1
1811562791,03 1ALGL-MT1,Algebra Linear,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,2,2.5,0,1.8,1.8,0,0,,2019.1
1811562798,03 1ALGL-MT1,Algebra Linear,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,7.8,8.1,5.5,7.5,7.5,0,0,,2019.1
1811563801,03 1ALGL-MT1,Algebra Linear,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,9.3,9.8,3.5,8.3,8.3,0,0,,2019.1
1811563804,03 1ALGL-MT1,Algebra Linear,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,7.3,7.2,6,7,7,0,0,,2019.1
1811563839,03 1ALGL-MT1,Algebra Linear,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,2.1,4.4,2,3,3,0,0,,2019.1
1811563861,03 1ALGL-MT1,Algebra Linear,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,8,7.5,6,7.4,7.4,0,0,,2019.1
1811563869,03 1ALGL-MT1,Algebra Linear,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,8.5,7.7,8.5,8.2,8.2,0,0,,2019.1
1811563885,03 1ALGL-MT1,Algebra Linear,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,8.9,7.7,6.5,7.9,7.9,0,0,,2019.1
1811564869,03 1ALGL-MT1,Algebra Linear,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,4.8,6.4,8.5,6.2,7.7,8.5,0,,2019.1
1811562643,2019-1CALC-DP01,Cálculo,Administração,Administração,REN - Reprovado por Nota,2,0,0,0.8,0.8,0,0,,2019.1
1811562648,2019-1CALC-DP01,Cálculo,Administração,Ciências Econômicas,APM - Aprovado por média,9,7.3,7.4,8,8,0,0,,2019.1
1811562656,01 1CALC-MT6,Cálculo,Administração,Ciências Econômicas,REN - Reprovado por Nota,0,0,0,0,0,0,0,,2019.1
1811562794,01 1CALC-MT6,Cálculo,Administração,Ciências Econômicas,REN - Reprovado por Nota,0,0,0,0,0,0,0,,2019.1
1811565273,01 1CALC-MT6,Cálculo,Administração,Administração,REN - Reprovado por Nota,0.3,0,0,0.1,0.1,0,0,,2019.1
1821560004,01 1CALC-MT6,Cálculo,Administração,Ciências Econômicas,REN - Reprovado por Nota,0,0,0,0,0,0,0,,2019.1
1821568468,01 1CALC-MT6,Cálculo,Administração,Ciências Econômicas,REN - Reprovado por Nota,5.2,3.2,5.5,4.5,4.5,1.3,0,,2019.1
1821568474,01 1CALC-MT6,Cálculo,Administração,Administração,REN - Reprovado por Nota,6.3,1.7,4.5,4.1,4.1,0,0,,2019.1
1821568494,01 1CALC-MT6,Cálculo,Administração,Administração,APM - Aprovado por média,8.8,5.7,6,7,7,2.8,0,,2019.1
1821568499,01 1CALC-MT6,Cálculo,Administração,Administração,REN - Reprovado por Nota,3.4,0,0,1.4,1.4,0,0,,2019.1
1821568501,2019-1CALC-DP01,Cálculo,Administração,Ciências Econômicas,APM - Aprovado por média,9,5.8,7.3,7.4,7.4,0,0,,2019.1
1821568508,2019-1CALC-DP01,Cálculo,Administração,Administração,APM - Aprovado por média,7.6,10,8.9,8.8,8.8,0,0,,2019.1
1821568594,01 1CALC-MT6,Cálculo,Administração,Ciências Econômicas,REN - Reprovado por Nota,5.5,0.8,0,2.5,2.5,0,0,,2019.1
1821568605,01 1CALC-MT6,Cálculo,Administração,Administração,APM - Aprovado por média,8.1,3.9,6.5,6.1,7,6.2,0,,2019.1
1821568621,01 1CALC-MT6,Cálculo,Administração,Ciências Econômicas,REN - Reprovado por Nota,3.3,0,0,1.3,1.3,0,0,,2019.1
,2019-1CALC-DP01,Cálculo,Administração,Ciências Econômicas,REN - Reprovado por Nota,7.6,4,7,6,6,0,0,,2019.1
1821568628,2019-1CALC-DP01,Cálculo,Administração,Ciências Econômicas,APM - Aprovado por média,7.5,6.5,1.5,5.9,7,9.3,0,,2019.1
1821568638,2019-1CALC-DP01,Cálculo,Administração,Ciências Econômicas,APM - Aprovado por média,8.5,6,3.3,6.5,7.3,8,0,,2019.1
1821568658,2019-1CALC-DP01,Cálculo,Administração,Ciências Econômicas,APM - Aprovado por média,8.8,5.5,7.3,7.2,7.2,0,0,,2019.1
1821568662,2019-1CALC-DP01,Cálculo,Administração,Ciências Econômicas,APM - Aprovado por média,7.5,7,9,7.6,7.6,0,0,,2019.1
1821568666,2019-1CALC-DP01,Cálculo,Administração,Ciências Econômicas,APM - Aprovado por média,8.8,8.5,9,8.7,8.7,0,0,,2019.1
1821568669,2019-1CALC-DP01,Cálculo,Administração,Ciências Econômicas,APM - Aprovado por média,9.6,7.9,0,7,7,0,0,,2019.1
1821568723,01 1CALC-MT6,Cálculo,Administração,Administração,REN - Reprovado por Nota,3.3,0.5,0,1.5,1.5,0,0,,2019.1
1821568724,01 1CALC-MT6,Cálculo,Administração,Administração,REN - Reprovado por Nota,4.8,1,2,2.7,2.7,0,0,,2019.1
1821568727,2019-1CALC-DP01,Cálculo,Administração,Administração,REN - Reprovado por Nota,6.1,0,0,2.4,2.4,0,0,,2019.1
1821568737,01 1CALC-MT6,Cálculo,Administração,Administração,REN - Reprovado por Nota,7.3,3.3,6,5.4,5.6,3.8,0,,2019.1
1821568742,2019-1CALC-DP01,Cálculo,Administração,Administração,APM - Aprovado por média,7,4.3,7.5,6,7.7,8.5,0,,2019.1
1821568749,01 1CALC-MT4,Cálculo,Ciências Econômicas,Administração,REN - Reprovado por Nota,1.8,0,2,1.1,1.1,0,0,,2019.1
1821568750,01 1CALC-MT6,Cálculo,Administração,Administração,REN - Reprovado por Nota,6.3,1.9,6,4.5,4.5,1.3,0,,2019.1
1821568754,01 1CALC-MT6,Cálculo,Administração,Administração,APM - Aprovado por média,9,5.9,7,7.4,7.4,0,0,,2019.1
1821568766,01 1CALC-MT6,Cálculo,Administração,Administração,REN - Reprovado por Nota,7.4,3.6,6.5,5.7,6.1,4.7,0,,2019.1
1821568774,01 1CALC-MT6,Cálculo,Administração,Administração,REN - Reprovado por Nota,2.1,1.3,0,1.4,1.4,0,0,,2019.1
1821568786,2019-1CALC-DP01,Cálculo,Administração,Ciências Econômicas,APM - Aprovado por média,6.8,2.2,3.2,4.2,7.2,9.5,0,,2019.1
1821568801,2019-1CALC-DP01,Cálculo,Administração,Administração,APM - Aprovado por média,9.1,9.3,7,8.8,8.8,0,0,,2019.1
1821568802,01 1CALC-MT6,Cálculo,Administração,Administração,REN - Reprovado por Nota,5.3,2.5,7,4.5,4.5,1.6,0,,2019.1
1821568807,2019-1CALC-DP01,Cálculo,Administração,Administração,REN - Reprovado por Nota,7.5,3.5,7,5.8,5.8,0,0,,2019.1
1821568832,2019-1CALC-DP01,Cálculo,Administração,Administração,APM - Aprovado por média,0,8.3,7,4.7,8.5,9.5,0,,2019.1
1821568834,01 1CALC-MT4,Cálculo,Ciências Econômicas,Administração,REN - Reprovado por Nota,6.5,4.3,3.5,5,5,0,0,,2019.1
1821568840,2019-1CALC-DP01,Cálculo,Administração,Administração,APM - Aprovado por média,9.2,7.3,7,8,8,0,0,,2019.1
1821568842,2019-1CALC-DP01,Cálculo,Administração,Administração,APM - Aprovado por média,6.1,9.3,8.1,7.8,7.8,0,0,,2019.1
1821568845,01 1CALC-MT6,Cálculo,Administração,Administração,REN - Reprovado por Nota,5.3,2,1,3.1,3.1,0,0,,2019.1
1821568849,2019-1CALC-DP01,Cálculo,Administração,Administração,APM - Aprovado por média,8.4,8.4,7.4,8.2,8.2,0,0,,2019.1
1821568858,01 1CALC-MT6,Cálculo,Administração,Administração,REN - Reprovado por Nota,4.1,1.6,5.5,3.4,5.3,6.5,0,,2019.1
,2019-1CALC-DP01,Cálculo,Administração,Administração,REN - Reprovado por Nota,2.8,3.3,4,3.2,3.2,0,0,,2019.1
1821569014,2019-1CALC-DP01,Cálculo,Administração,Ciências Econômicas,REN - Reprovado por Nota,8.5,3.5,7.5,6.3,6.3,0,0,,2019.1
1821569023,2019-1CALC-DP01,Cálculo,Administração,Administração,APM - Aprovado por média,6.7,8.7,8.1,7.8,7.8,0,0,,2019.1
1821569238,01 1CALC-MT6,Cálculo,Administração,Ciências Econômicas,REN - Reprovado por Nota,0.3,0,0,0.1,0.1,0,0,,2019.1
1821569939,01 1CALC-MT6,Cálculo,Administração,Ciências Econômicas,APM - Aprovado por média,2.3,5.2,7,4.4,7,8.8,0,,2019.1
1821569978,2019-1CALC-DP01,Cálculo,Administração,Administração,APM - Aprovado por média,7.2,6,8.9,7.1,7.1,0,0,,2019.1
1911561618,01 1CALC-MT6,Cálculo,Administração,Administração,REN - Reprovado por Nota,3.6,2.8,4.5,3.5,3.5,1.2,0,,2019.1
1911562192,01 1CALC-MT1,Cálculo,Administração,Ciências Econômicas,REN - Reprovado por Nota,4.3,1.2,2.5,2.7,3.5,3.2,3,,2019.1
1911562290,01 1CALC-MT1,Cálculo,Administração,Ciências Econômicas,APM - Aprovado por média,8.5,1.5,7.5,5.5,8.3,8.4,0,,2019.1
1911562293,01 1CALC-MT4,Cálculo,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,7.3,6.6,7.5,7.1,7.1,0,0,,2019.1
1911562305,01 1CALC-MT1,Cálculo,Administração,Ciências Econômicas,APM - Aprovado por média,8.5,6,8,7.4,7.4,0,0,,2019.1
1911562307,01 1CALC-MT1,Cálculo,Administração,Ciências Econômicas,REN - Reprovado por Nota,1.5,1.4,0,1.2,1.2,0,2,,2019.1
1911562314,01 1CALC-MT7,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,2.8,1.9,2.5,2.4,2.4,0,0,,2019.1
1911562316,01 1CALC-MT1,Cálculo,Administração,Ciências Econômicas,APM - Aprovado por média,9.9,2.4,6,6.1,8.9,9.3,0,,2019.1
1911562318,01 1CALC-MT7,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,3.5,2.7,0,2.5,2.5,0,0,,2019.1
1911562319,01 1CALC-MT1,Cálculo,Administração,Ciências Econômicas,APM - Aprovado por média,9.5,7.9,8.5,8.7,8.7,0,0,,2019.1
1911562321,01 1CALC-MT4,Cálculo,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,8.8,5.6,6.5,7.1,7.1,0,0,,2019.1
1911562328,01 1CALC-MT1,Cálculo,Administração,Ciências Econômicas,REN - Reprovado por Nota,0.8,0,3,0.9,0.9,0,6,,2019.1
1911562344,01 1CALC-MT1,Cálculo,Administração,Ciências Econômicas,REN - Reprovado por Nota,2,0.5,3.5,1.7,1.7,0,0,,2019.1
1911562351,01 1CALC-MT1,Cálculo,Administração,Ciências Econômicas,APM - Aprovado por média,9,3.1,5.5,5.9,7,5.7,0,,2019.1
1911562361,01 1CALC-MT1,Cálculo,Administração,Ciências Econômicas,REN - Reprovado por Nota,5.5,2.6,5.5,4.3,5.7,5.9,0,,2019.1
1911562365,01 1CALC-MT7,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,3.2,5.5,4.5,4.4,5.8,6.7,0,,2019.1
1911562368,01 1CALC-MT1,Cálculo,Administração,Ciências Econômicas,APM - Aprovado por média,6.2,5.4,6.5,5.9,7.1,8.2,0,,2019.1
1911562371,01 1CALC-MT4,Cálculo,Ciências Econômicas,Ciências Econômicas,REN - Reprovado por Nota,5.5,2.8,1.5,3.6,3.6,0,0,,2019.1
1911562373,01 1CALC-MT1,Cálculo,Administração,Ciências Econômicas,APM - Aprovado por média,8.6,7.7,6,7.7,7.7,0,0,,2019.1
1911562375,01 1CALC-MT7,Cálculo,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,8.1,7.8,7,7.8,7.8,0,0,,2019.1
1911562378,01 1CALC-MT7,Cálculo,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,7.5,7.7,7,7.5,7.5,0,0,,2019.1
1911562476,01 1CALC-MT2,Cálculo,Administração,Administração,APM - Aprovado por média,7.8,5.6,8,7,7,0,7,,2019.1
1911562480,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,8.7,5.8,8.5,7.5,7.5,0,0,,2019.1
1911562495,01 1CALC-MT7,Cálculo,Ciências Econômicas,Administração,REN - Reprovado por Nota,4.6,3.2,3.5,3.8,3.8,0,0,,2019.1
1911562504,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,5.9,3,4.5,4.5,4.5,0,0,,2019.1
1911562509,01 1CALC-MT7,Cálculo,Ciências Econômicas,Administração,REN - Reprovado por Nota,6,5.4,6.5,5.9,6.6,7.2,0,,2019.1
1911562513,01 1CALC-MT7,Cálculo,Ciências Econômicas,Administração,REN - Reprovado por Nota,2.8,4.5,5,3.9,4.4,3.9,0,,2019.1
1911562515,01 1CALC-MT2,Cálculo,Administração,Administração,REN - Reprovado por Nota,3.8,2.4,2.5,3,3,1.8,5,,2019.1
1911562517,01 1CALC-MT2,Cálculo,Administração,Administração,APM - Aprovado por média,7.7,4.7,6,6.2,7.4,7.8,4,,2019.1
1911562519,01 1CALC-MT2,Cálculo,Administração,Administração,REN - Reprovado por Nota,7,3.5,5.5,5.3,5.9,5.1,1,,2019.1
1911562521,01 1CALC-MT4,Cálculo,Ciências Econômicas,Administração,REN - Reprovado por Nota,1.2,0,2.5,1,1,0,0,,2019.1
1911562525,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,6.2,3.2,7.5,5.3,5.5,3.9,2,,2019.1
1911562527,01 1CALC-MT7,Cálculo,Ciências Econômicas,Administração,REN - Reprovado por Nota,0,0,0,0,0,0,0,,2019.1
1911562529,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,8.2,4.8,7.5,6.7,7.4,6.5,0,,2019.1
1911562533,01 1CALC-MT4,Cálculo,Ciências Econômicas,Administração,REN - Reprovado por Nota,3.9,2.4,0,2.5,2.5,0,0,,2019.1
1911562538,01 1CALC-MT2,Cálculo,Administração,Administração,REN - Reprovado por Nota,4,4.5,0,3.4,3.4,0,4,,2019.1
1911562540,01 1CALC-MT4,Cálculo,Ciências Econômicas,Administração,REN - Reprovado por Nota,1.7,0.8,8,2.6,2.6,0,0,,2019.1
1911562548,01 1CALC-MT2,Cálculo,Administração,Administração,REN - Reprovado por Nota,6.7,1.4,4.5,4.1,4.9,3.2,1,,2019.1
1911562562,01 1CALC-MT7,Cálculo,Ciências Econômicas,Administração,APM - Aprovado por média,7,1.7,8,5.1,7.1,6.8,0,,2019.1
1911562570,01 1CALC-MT2,Cálculo,Administração,Administração,APM - Aprovado por média,7.2,4.5,6,5.9,7,7.2,0,,2019.1
1911562582,01 1CALC-MT7,Cálculo,Ciências Econômicas,Administração,REN - Reprovado por Nota,3.8,2.1,0,2.4,2.4,0,0,,2019.1
1911562586,01 1CALC-MT2,Cálculo,Administração,Administração,REN - Reprovado por Nota,2,1.2,0,1.3,1.3,0,1,,2019.1
1911562589,01 1CALC-MT2,Cálculo,Administração,Administração,REN - Reprovado por Nota,3.4,1.4,8,3.5,3.5,0,5,,2019.1
1911563012,01 1CALC-MT7,Cálculo,Ciências Econômicas,Administração,REN - Reprovado por Nota,5.5,2.5,2,3.6,3.6,0,0,,2019.1
1911563039,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,3.7,1.7,0,2.2,2.2,0,2,,2019.1
1911563044,01 1CALC-MT7,Cálculo,Ciências Econômicas,Administração,APM - Aprovado por média,7.9,4.4,8,6.5,7.8,7.5,0,,2019.1
1911563055,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,3.4,2.9,3.5,3.2,3.2,0,0,,2019.1
1911563057,01 1CALC-MT2,Cálculo,Administração,Administração,APM - Aprovado por média,8.8,7.4,6.5,7.8,7.8,0,0,,2019.1
1911563059,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,5.6,5.3,8.5,6.1,7,7.6,0,,2019.1
1911563066,01 1CALC-MT7,Cálculo,Ciências Econômicas,Administração,REN - Reprovado por Nota,2.1,3.2,3.5,2.8,2.8,0,0,,2019.1
1911563083,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,1.5,0.7,0,0.9,0.9,0,0,,2019.1
1911563091,01 1CALC-MT2,Cálculo,Administração,Administração,REN - Reprovado por Nota,6.2,4.5,3,4.9,4.9,1.7,0,,2019.1
1911563095,01 1CALC-MT1,Cálculo,Administração,Administração,REN - Reprovado por Nota,2,0,0,0.8,0.8,0,3,,2019.1
1911563115,01 1CALC-MT1,Cálculo,Administração,Administração,APM - Aprovado por média,6.8,2.5,6,4.9,7,7.7,0,,2019.1
1911563118,01 1CALC-MT4,Cálculo,Ciências Econômicas,Administração,APM - Aprovado por média,8.7,8.4,7,8.2,8.2,0,0,,2019.1
1911563121,01 1CALC-MT4,Cálculo,Ciências Econômicas,Administração,REN - Reprovado por Nota,4,2.8,0,2.7,2.7,0,0,,2019.1
1911563123,01 1CALC-MT4,Cálculo,Ciências Econômicas,Administração,APM - Aprovado por média,7.7,7.4,7,7.4,7.4,0,0,,2019.1
1911563144,01 1CALC-MT2,Cálculo,Administração,Administração,REN - Reprovado por Nota,2.5,1.6,0,1.6,1.6,0,1,,2019.1
1911563168,01 1CALC-MT4,Cálculo,Ciências Econômicas,Ciências Econômicas,APM - Aprovado por média,7.1,8.3,8.5,7.9,7.9,0,0,,2019.1
